title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
The Berlin Dictionary,"A dictionary of Berlin, New Hampshire, colloquial terms. Equal parts Franco American euphemism, persistent French vernacular in the English language, and words for things and places particular to the community of Berlin. The author writes: ""'The Berlin Dictionary' is a participatory dictionary written by over seventy contributors who submitted their favorite and most memorable 'Berlin Words.' With definitions ranging from the Arena to the Yoko and everything in between, the Berlin Dictionary is a must-have for current and former Berlin residents. Featuring over thirty illustrations.""","Beaudoin, Rachelle (editor, illustrator)",,Boom Pier Press,2009,,English and français,,,,Book,"<a href=""http://www.worldcat.org/oclc/501976693"">501976693</a>","20th and 21st centuries, Berlin, New Hampshire",,,,,,,,,,,98,"Peterborough, New Hampshire",,,9.78056E+12,,,"<div class=""element-text""><a href=""http://www.lulu.com/product/paperback/the-berlin-dictionary/6027380"">http://www.lulu.com/product/paperback/the-berlin-dictionary/6027380</a> <br/><br/> <a href=""http://risd.digication.com/rachelle/dictionary"">http://risd.digication.com/rachelle/dictionary</a> <br/><br/> <a href=""http://books.google.com/books?id=Eqs9QwAACAAJ&amp;dq=beaudoin%3B+the+berlin+dictionary&amp;hl=en&amp;ei=_OPGTIjPIcmr8AbOy-gH&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;sqi=2&amp;ved=0CDAQ6AEwAA"">The Berlin Dictionary @ Google Books</a></div>",,,,,https://francolibrary.com/archive/files/85c3d913bd72f6c720b60ad815144180.jpg,Art and Architecture;Berlin NH;Community: Customs and Social Life;Language and Linguistics,Dictionaries | Dictionnaires
Le Parler de Chez Nous ,"Sous-titre, ""'C'est d'meême qu'on parle par icitte' : dictons, patois, expressions de la Valleé Saint-Jean, Maine."" Un dictionnaire d'expressions familiières et de phrases locales de la Vallée St. Jean au nord du Maine. Contient beaucoup de phrases humoristiques qui sont reconnaissables au plupart de la francophonie du Maine.","Levesque, Don",,St. John Valley Times,1999,St. John Valley Times,"Français, avec quelques anglais",,,,Book,"<a href=""http://www.worldcat.org/oclc/47725295"">47725295</a>","St. John River Valley, Maine",,,,,,,,,,,78,"Madawaska, Maine",,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=GKc3HAAACAAJ&amp;dq=le+parler+de+chez+nous%3B+levesque&amp;hl=en&amp;ei=M9nGTJycIMT38Aah8IA3&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCsQ6AEwAA"">Le Parler de Chez-Nous @ Google Books</a></div>",,,,,https://francolibrary.com/archive/files/9e3a4815ba9c43f205cfde6ca230c003.jpg,Community: Customs and Social Life;Language and Linguistics;St. John River Valley,Dictionaries | Dictionnaires
"Petit dictionnaire du ""joual"" au français","Dictionnaire, organisé par sujet, des termes du dialecte canadienne-française, «joual». Compare les désignations en joual aux termes anglais et des synonymes français.","Turenne, Augustin ",,éditions de l'homme; Distributeur exclusif  L'Agence de distribution populaire,1962,,Français,,,,Book,"<a href=""http://www.worldcat.org/oclc/1999775"">1999775</a>",Québec,,,,,,,,,,,94,"Montréal, Québec",éditions de l'homme; Distributeur exclusif  L'Agence de distribution populaire,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=vFvZOwAACAAJ&amp;dq=petit+dictionnaire+du+joual&amp;hl=en&amp;ei=OtGgTL7GCsL68Abp4sX1Dw&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCoQ6AEwAA"">Petit dictionnaire... sur Google Books</a></div>",,,,,https://francolibrary.com/archive/files/321c3cdb794c74f892ea344b3dfd513b.jpg,Ethnicity and Collective Identity;Language and Linguistics;Québec,Dictionaries | Dictionnaires
Dictionary of American Regional English,"Dictionary of American vernacular English as pronounced and heard in various segments of the United States. Now in 4 volumes. From Belknap Press: ""'The Dictionary of Regional English (DARE)"" is a multi-volume reference work that documents words, phrases, and pronunciations that vary from one place to another across the United States. DARE is based on face-to-face interviews carried out in all 50 states between 1965 and 1970 and on a comprehensive collection of written materials (diaries, letters, novels, newspapers, histories, biographies, government documents, etc.) that cover our history from the colonial period to the present. The entries in DARE include regional pronunciations, variant forms, some etymologies, and regional and social distributions of the words and phrases.""

 from Volume I of the text:
","Cassidy, Frederic Gomes;Hall, Joan Houston",,Belknap Press of Harvard University Press,1985,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/11624265"">116242656</a>","20th century, United States",,,,,,,,,,,,"Cambridge, Massachusetts",,,9.78067E+12,,,"<div class=""element-text""><a href=""http://www.hup.harvard.edu/catalog.php?recid=25047"">http://www.hup.harvard.edu/catalog.php?recid=25047</a> <br/><br/> <a href=""http://books.google.com/books?id=sTwOAQAAMAAJ&amp;dq=dictionary+of+american+regional+english;+cassidy&amp;hl=en&amp;ei=eDdUTfvED8TbgQfa1cT4CA&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CDEQ6AEwAA"">Dictionary of American Regional English (vol. IV) @ Google Books</a></div>",,,,,,Geography;Language and Linguistics;Personal History: Biography and Oral History;United States,Dictionaries | Dictionnaires
Gems of Our Franco Dialect,"Some of the author's reflections on his narrative choices - his characters' accents, dialects, and dictions - in his first French language novel, ""Le Petit Mangeur de Fleurs."" Some thoughts on the relationships and distinctions between continental French, French Canadianisms, and Franco American dialect, and the inspiring phenomena of words with strange translations, or words without traceable origins. Concludes with a list of ""some of the gems of the Franco dialect"" : terms, Canadianisms, which carry specific cultural weight, and their translations. The author's hope of encouraging discussion about other such gems, though especially those not yet found in dictionaries.","Beaupré, Normand R.",,Unpublished,Unknown,,English et français,,,,Document,,"20th century, Maine, New England",,,,,,,,,,,,,,,,,,"<div class=""element-text""><a href=""http://www.nrbeaupre.com"">http://www.nrbeaupre.com</a></div>",,,,,,Criticism and Review;Essay;Fiction and Literature;Language and Linguistics;Maine,Dictionaries | Dictionnaires
C'est de même qu'ont parle par che' nous,"Dictionary of French terms and their English translations, compiled from the ""patois, metaphors, and dictions"" of the towns of the St. John River Valley in northern Maine. Contains common French words and phrases that persist locally in both French and English dialogue. The second of two collections of idioms written by Don Levesque.  Dictionnaire des termes français et leurs traductions en anglais, compilées à  partir des «patois, les métaphores et dictions» des villes de la vallée de la riviière Saint-Jean dans le nord du Maine. Contient des mots et des phrases français qui persistent localement dans les deux dialogues en français et en anglais. Ce livre est la seconde des deux collections d'idiomes écrit par Don Levesque.","Levesque, Don",,St. John Valley Times,2007,,Français and English,,,,Book,,"2007, St. John River Valley, Maine",,,,,,,,,,,58,"Madawaska, Maine",St. John Valley Times,,,,,"<div class=""element-text""><a href=""http://www.sjvalley-times.com/"">http://www.sjvalley-times.com/</a></div>",,,,,https://francolibrary.com/archive/files/9addb2f27ac7fd6fc3a3ee28f32b8312.jpg,Acadians;Eagle Lake ME;Fort Kent ME;Grand Isle ME;Keegan ME;Language and Linguistics;Madawaska ME;Maine;Notre Dame ME;Sinclair ME;St. John River Valley;Van Buren ME,Dictionaries | Dictionnaires
Basic Conversational French for Health Personnel : A Telecture Program,"Franco American language and culture resource guide for healthcare personnel. Glossary of French language terms and phrases, lessons, and an example story of French-English bilingual interaction. Published for a 1979 telecture (long-distance learning) course in nursing, provided by the University of Southern Maine. In addition to course and instructor information, includes the following sections: Historical and Sociological Background (with French in North American timeline) Vocabulary and phrases: Basic Terms; Anatomy; General Hospital Terms and Phrases; Admissions; Physical Therapy; Operating Room; X-Ray; Laboratory Dealing with Feelings","Bolduc, Claire;Colin, Cecile",,"University of Southern Maine, Bureau of Continuing Education for Nursing",1979,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/5542504"">5542504</a>",1979; Maine,,,,,,,,,,,159,"Portland, Maine","University of Southern Maine, Bureau of Continuing Education for Nursing",,,,,,,,,,https://francolibrary.com/archive/files/c63c577b3c0579cc057c649259f50bfd.jpg,Education;Health and Wellness;Language and Linguistics;Maine;Nonfiction;Nonfiction -- Education;Nonfiction -- Language and Linguistics,Dictionaries | Dictionnaires
