,title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags
0,"""Nous irons (...nous encore) Ã  Old Orchard c't'Ã©tÃ©?"" : Popular Culture, the Media, and QuÃ©bÃ©cois Vacationing on the New England Coast","Essay on the history and persistence of QuÃ©bÃ©cois vacationing in Maine beach towns, and the relative transitions that both QuÃ©bec tourists and New England beach cultures have made since the beginning of their nearly 150-year relationship in summer tourism.","Deslauriers, Pierre",,,2002-spr/sum,,en; fr,,,,Journal Article,"<a href=""http://www.worldcat.org/title/quebec-studies/oclc/60628349&amp;referer=brief_results/"">60628349</a>","1850-2000; QuÃ©bec; Old Orchard Beach, Maine",,,,,,,,,,,,,,,,,QuÃ©bec Studies,http://www.acqs.org/,33,,,,https://francolibrary.com/archive/files/6ec5791cccafd1a01873b5efee682399.jpg,Bar Harbor ME;Biddeford ME;Cape Cod MA;Emigration and Immigration;Fall River MA;Kennebunkport ME;Maine;MontrÃ©al QC;New England;New Hampshire;Nonfiction;Nonfiction -- Travel and Tourism;Ogunquit ME;Old Orchard Beach ME;Portland ME;Provincetown MA;QuÃ©bec;Saco ME;Sanford ME;Sports and Leisure;Travel and Movement;Wells ME;Wildwood NJ
1,Ethnic Diversity within Catholicism : A Comparative Analysis of Contemporary and Historical Religion,"Brief sociological and historical analysis of the convergences and divergences of religion and ethnicity. Sections devoted to Italian, Irish, French Canadian, Mexican, Puerto Rican, Polish, and German Catholic societies.","Abramson, Harold J.",,,1971-07-00,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/title/ethnic-diversity-within-catholicism-a-comparative-analysis-of-contemporary-and-historical-religion/oclc/478399059&amp;referer=brief_results"">478399059</a>",20th century,,,,,,,,,,,,,,0022-4529,,4,Journal of Social History,http://www.jstor.org/stable/3786476,4,,,,,Canada;Demography;Ethnicity and Collective Identity;Germany;Ireland;Italy;Mexico;Nonfiction;Nonfiction -- Ethnic Studies;Nonfiction -- History -- Religion;Nonfiction -- Social Sciences;Nonfiction -- Sociology;Poland;Puerto Rico;QuÃ©bec;Religion
