title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
The Immigrant Experience in American Fiction : An Annotated Bibliography,"Bibliography of novels and some non-fiction authored by, concerning, and engaging a diversity of immigrant experiences in the United States. Important text for literary studies and American Studies.","Simone, Roberta",,Scarecrow Press,1994,,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/44956605"">44956605</a>",,,,,,,,,,,,199,"Metuchen, New Jersey",,9.78059E+12,,,,"<div class=""element-text""><a href=""http://scarecrowpress.com/Catalog/SingleBook.shtml?command=Search&amp;db=^DB/CATALOG.db&amp;eqSKUdata=0810829622"">http://scarecrowpress.com/Catalog/SingleBook.shtml?command=Search&amp;db=^DB/CATALOG.db&amp;eqSKUdata=0810829622</a> <br/><br/> <a href=""http://books.google.com/books?id=sFUWAQAAIAAJ&amp;dq=the+immigrant+experience+in+american+fiction:+an+annotated+bibliography&amp;hl=en&amp;ei=ATpITLPDIYGB8gaA073iDg&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CC4Q6AEwAA"">The Immigrant Experience in American Fiction @ Google Books</a></div>",,,,,,Bibliography;Criticism and Review;Emigration and Immigration;Ethnicity and Collective Identity;Fiction and Literature;Literary Works -- Criticism and History;United States,Bibliographies
A Franco-American Resources Inventory of New England : FARINE,"1980 catalog of people and places in New England that function as resources for Franco-American culture both in- and outside of their communities. The results of a student-led investigation through New England cities: community, industry, educational institutions, religious parishes.",F.A.R.O.G. (Franco-American Resource Opportunity Group),,Self-published,1980,,en; fr,,,,Book,"<a href=""http://www.worldcat.org/oclc/6538417"">6538417</a>",1980; New England,,,,,,,,,,,84,"Orono, Maine",Self-published,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=wO3ZOwAACAAJ"">A Franco-American Resource Inventory of New England...</a> @ Google Books</div>",,,,,https://francolibrary.com/archive/files/7ac74329cef6ba80f43bcd2e55d3d495.jpg,Art and Architecture;Bibliography;Community: Customs and Social Life;Connecticut;Demography;Education;Maine;Massachusetts;New England;New Hampshire;Nonfiction;Nonfiction -- Travel and Tourism;Personal History: Biography and Oral History;Rhode Island;Vermont,Bibliographies
"Evangeline Resource List : A Selected Bibliography, Discography, and Filmography","A list of resources relative to the epic poem ""Evangeline"" by Henry Wadsworth Longfellow, compiled by the director of the Acadian Archives at the University of Maine at Fort Kent. Contains listings of different published editions of the poem, criticism and interpretations of it, and other writings or art (sculpture, painting, film, music) informed by the poem and its history.","Ornstein, Lisa",,,1997,,Français,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/33064369"">33064369</a>",,,,,,,,,,,,,,,1521-6977,,,The River Review / La Revue riviière,"<div class=""element-text""><a href=""http://riverreview.umfk.maine.edu/"">http://riverreview.umfk.maine.edu/</a></div>",3,,,,https://francolibrary.com/archive/files/fcd0702c73068305876ee6c69892af93.jpg,Acadians;Art and Architecture;Bibliography;Children's Literature;Fiction and Literature;Film and Television;Music;North America;Poetry,Bibliographies
"An Annotated Bibliography of Title VII French Project-Developed Instructional Materials, 1970-1975","List of educational materials designed for French and French/English American elementary education in the 1970s. Shares the titles, descriptions of content, and appropriate grade levels for language texts designed for teachers and students in Florida, Louisiana, Maine, New Hampshire, and Vermont.",National Materials Development Center,,National Materials Development Center,1975,,"English, with some français",,,,Book,"<a href=""http://www.worldcat.org/oclc/9306875"">93006875</a>","1970-1975, United States",,,,,,,,,,,50,"Bedford, New Hampshire",,,,,,,,,,,,Berlin NH;Breaux Bridge LA;Caribou ME;Education;Florida;Frenchville ME;Greenville NH;Lafayette LA;Lafayette Parish LA;Language and Linguistics;Madawaska ME;Maine;New Hampshire;St. Agatha ME;St. John River Valley;St. Landry Parish LA;St. Martin Parish LA;Van Buren ME;Vermont;Youth,Bibliographies
Lumbering and the Maine Woods : A Bibliographical Guide,"Bibliography of texts related to lumbering, woodcutters, and their environments in Maine from the middle 19th century to the 20th. Contains lists of manuscript collections, articles, comprehensive historical texts, town histories, unpublished theses, and some fiction. Many citations are annotated.","Smith, David C.",,Maine Historical Society,1971,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/658331"">658331</a>","19th century - 20th century, Maine",,,,,,,,,,,35,"Portland, Maine",,,,,,"<div class=""element-text""><a href=""http://www.mainehistory.org/"">http://www.mainehistory.org/</a> <br/><br/> <a href=""http://books.google.com/books?id=fPUjNgAACAAJ&amp;dq=lumbering+and+the+maine+woods&amp;hl=en&amp;ei=aGm1TczzJay40QG26cyvCQ&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CDUQ6AEwAA"">Lumbering and the Maine Woods... @ Google Books</a></div>",,,,,https://francolibrary.com/archive/files/fc36d58cca11945aa947ef4d3f2300c8.jpg,Bibliography;Fiction and Literature;Forestry;Geography;Labor History;Maine;New England,Bibliographies
Traditional Crafts and Craftsmanship in America : A Selected Bibliography,"Bibliography of published writings and guides on crafts, handiwork, folk art, and their practice in the United States. Indexed by location, medium, and theme, each source appended with a Library of Congress catalog number.","Sink, Susan",,"American Folklife Center, Library of Congress",1983,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/12555335"">12555335</a>","20th century, United States",,,,,,,,,,,84,"Washington, D.C.","American Folklife Center, Library of Congress",,,,,"<div class=""element-text"">Featured on this list of LOC publications: <a href=""http://www.loc.gov/folklife/AFChist/bibliography.html"">http://www.loc.gov/folklife/AFChist/bibliography.html</a></div>",,,,,https://francolibrary.com/archive/files/bb286e283c7ff0a2e014ebd6823c1ea4.jpg,Art and Architecture;Bibliography;Folklore;Sports and Leisure;United States,Bibliographies
The Atlantic Provinces of Canada : Union lists of materials in the larger libraries in Maine,"Book-length listing of the materials on New Brunswick, Newfoundland and Labrador, Nova Scotia, and Prince Edward Island, that are to be found in a handful of Maine's largest and most thorough libraries. Compiled by historian and Canadian-American scholar at the University of Maine, Alice Stewart. Includes titles and publication dates of periodicals, newspapers, pamphlets, and books.","Stewart, Alice R.",,"New England-Atlantic Provinces-Quebec Center, University of Maine",1971,,English and français,,,,Book,"<a href=""http://www.worldcat.org/oclc/533246"">533246</a>","1971, Maine, Atlantic Provinces, Quebec",,,,,,,,,,,70,"Orono, Maine","New England-Atlantic Provinces-Quebec Center, University of Maine",,,,,,,,,,https://francolibrary.com/archive/files/9cbd9a9d4e7c5f04ed373f7895117928.jpg,Bibliography;Canada;Labrador;New Brunswick;Newfoundland;Nova Scotia;Prince Edward Island,Bibliographies
Guide to Non-English-Language Print Media,"A bibliographic resource guide to non-English-language periodical publications in the United States. Organizes short profiles of media alphabetically by title, numerically by National Clearinghouse for Bilingual Education (NCBE) accession number, and geographically by city and state of publication. Includes hundreds of examples of print media from the 1970s and early 1980s. Published in a series of four resource guides, which includes the titles, ""Guide to Non-English-Language Broadcasting,"" ""Guide to Non-English-Language Schools,"" and ""Guide to Non-English-Language Religious Units.""","Fishman, Joshua;Gertner, Michael H.;Lowy, Esther G.;Milan, William G.",,National Clearinghouse for Bilingual Education,1981,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/9466020"">9466020</a>","1981, United States",,,,,,,,,,,51,"Rosslyn, Virginia",,,9.7809E+12,,,,,,,,https://francolibrary.com/archive/files/f6734695367024c5c946672751238117.jpg,Bibliography;Journalism;Language and Linguistics;United States,Bibliographies
Franco-American Bibliography for Health Care Providers,"Bibliographic list of over 350 texts helpful to providers in a variety of healthcare fields for learning about Franco Americans. Historical, cultural, literary, legal, biological, and other resources listed together in an attempt to serve holistically the information needs of educators, medical professionals, and caretakers aimed at serving the Franco American populations of New England.","Robbins, Rhea Coêté",,Self-published,Unknown,"McPherson, Mary (project consultant)",en,,,,Document,,"20th century; Maine, New England, United States; Canada",,,,,,,,,,,,,,,,,,,,,,,,Bibliography;Ethnicity and Collective Identity;Health and Wellness;Maine;New England;Nonfiction;Nonfiction -- Science and Medicine,Bibliographies
Bibliographie commentée sur les Franco-Américains de la Nouvelle-Angleterre,"Une bibliographie annoté qui est composée de 23 textes historiques, biographiques, et littéraires dans la tradition écrite franco-américaine.","Anctil, Pierre",Lire: TEXTE INTèGRAL,,1979 avril,,Français,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/60627975"">60627975</a>;<a href=""http://www.worldcat.org/oclc/220726882"">220726882</a>;<a href=""http://www.worldcat.org/oclc/60688637"">60688637</a>",1878-1959; Nouvelle-Angleterre,,,,,,,,,,,,,,1708-8968,,58,Cahiers de géographie du Québec,"<div class=""element-text""><a href=""http://www.erudit.org/revue/cgq/1979/v23/n58/"">http://www.erudit.org/revue/cgq/1979/v23/n58/</a></div>",23,,,,https://francolibrary.com/archive/files/f91322f77bf75a788b20df6a226a2dc1.jpg,Bibliography;Burlington VT;Emigration and Immigration;Fall River MA;Fiction and Literature;Lewiston ME;Lowell MA;Manchester NH;Nashua NH;New Bedford MA;New England;Woonsocket RI,Bibliographies
Studies on Vermont/Québec Relations : The State of the Art,"A brief annotated bibliography in essay form, with commentary, that focuses on the history of geographic and economic relationships between Vermont and Québec. Included in Occasional Paper Number Six, in a series produced by the Center for Research on Vermont, University of Vermont.","Senécal, André",,"Center for Research on Vermont, University of Vermont",1983,,English,,,,Book Section,"<a href=""http://www.worldcat.org/oclc/10565367"">10565367</a>",1983; Vermont,,,,,,,,,,,,"Burlington, Vermont","Center for Research on Vermont, University of Vermont",,,,,,,,,,,Barre VT;Bibliography;Burlington VT;Business and Economics;Ethnicity and Collective Identity;Québec;St. Johnsbury VT;Vermont;Winooski VT,Bibliographies
