title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
Histoire de Montferrand : L'Athlete Canadien and Joe Mufraw,"Observations on the folklore around Joe Montferrand (Muffraw), ""[Paul] Bunyan's sometimes cook and occasional opponent,"" whose famed lumbering strength originated in Québec lore, and whose stories moved - along with French Canadians - to New England, Minnesota, and Michigan by the late nineteenth century.","Monteiro, George",Preview (JSTOR),,1960-01-00,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/482723018"">482723018</a>",1850-1930; New England; Michigan; Minnesota,,,,,,,,,,,,,,0021-8715,,#287,,"<div class=""element-text""><a href=""http://www.jstor.org/stable/537599"">http://www.jstor.org/stable/537599</a></div>",73,,,,https://francolibrary.com/archive/files/770c931307ffa65c0d947f1a98eeb9cd.jpg,California;Emigration and Immigration;Fall River MA;Folklore;Forestry;Lowell MA;Maine;Manchester NH;Michigan;New England;New Hampshire;Nonfiction -- Sports;Providence RI;Québec;Sports and Leisure;Vermont;Woonsocket RI,Folklore
Paul Bunyan and Little John,"Article on the geographic origins of French Canadian and American folklore lumberjack, Paul Bunyan. Traces research that relates the character to one ""Tit Jean"" or ""Bon Jean"" of French Canadian lore, and to his predominant occurrence in tales around lumber camps of the United States Midwest.","Gartenberg, Max",Preview (JSTOR),,1949-10-00,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/1782260"">1782260</a>;<a href=""http://www.worldcat.org/oclc/51205291"">51205291</a>",17th century - 20th century; United States; Québec,,,,,,,,,,,,,,0021-8715,,,The Journal of American Folklore,"<div class=""element-text""><a href=""http://www.jstor.org/stable/536582"">http://www.jstor.org/stable/536582</a></div>",62,,,,https://francolibrary.com/archive/files/3f9697955e7e01b2a975a2db81d47639.jpg,Canada;Folklore;Forestry;Maine;Michigan;Minnesota;Québec;Wisconsin,Folklore
